,all_features
194,"Great people, questionable leadership This review is subjected to the Allen Park office ONLY. Aptiv acquired Control-Tec, who was great and where most of the pros stem from. Note that other offices have completely different cultures/benefits. - Great people to work with, culture is about making sure everyone is on the same page and just wants to build something great. Teamwork is a non-issue. PMs and devs are your partners through and through. - Cross-functional folks and users are amazing and kind people. Very passionate about their work and willing to help you as much as they can, whether it's teaching, including, and giving constructive feedback. - WLB is great, though once in a while a push is needed to deliver, and with take-as-you-need/unlimited vacation, you can't get better than that (Allen Park office only). - Culture events like board/video game nights, whiskey/beer guilds, bbq days, and food truck summers were plentiful at the Allen Park office. - Management are often at a disconnect with upper management/leadership strategies, which gets worse at IC level. After Aptiv acquisition, product teams including SME experts were unsure/unconfident about the product they were asked to build. Validation and justifying product decisions/directions was a constant sore point between product and upper management. - Be prepared to be the only UX resource across multiple products/PM's. Once the ratio was 1 UX : 7 PMs : 30+ developers. Be prepared to brutally prioritize and deliver what you can. You are also a PM, but the pay won't reflect this. - During COVID-19, Allen Park Aptiv quietly laid people off after leadership made assurances of that not being the case. 2 months later, and right after 6 weeks of furloughs, layoffs ensued. Roles including mine and high-performing software engineers were affected."
195,"Project leader for Daimler Dynamic, good team, interesting project A lot of overtime works."
196,"Okay No work pressure. Sit back and relax like government office. Worst Management, micro management of employees. No diversity."
197,good money but terrible culture pay plus benefits - big cars the culture does not respect the basic values
198,"Great place to work *Company with great vision *Great learning & Challenging work *Supportive manager & Team *Better work life balance * Decent pay acc to current market rate * Facility should be improved - canteen, parking, Wellness room etc."
199,"Great for a start Great atmosphere, modern hardware, ability to extend your knowledge, remote work during the pandemic Low pay for students, often repetitive tasks"
200,Best Company to be This company provide the best remuneration. Not really good is limited parking area.
201,Great place great pay friendly work environment confusing work environment management seems lost
202,"A radar company failing to be a tech company Flexible work hours, little expectations Management doesn't know how to make or sell software"
203,"Executive Company Portfolio , the people working in mid level jobs keeping it going daily! The quality of products Top Managment , & Culture, lack of true diversity and treatment of people that work there, work life balance, focus on cost vs growth, top management is a boy’s club, believes US workers are too expensive and older workers need to go; does not value loyalty"
204,Good company Many opportunities to be successful at Aptiv if you’re hardworking and like to be involved with continuous improvement. Total rewards package is very good. Very siloed company with much duplication. Value “OneTeam” is aspirational versus reality.
205,Very good working condition Good working condition in plant System not use many time in plant
206,Overall good. opportunity to work with interesting automotive projects. As usual in corp. Sometimes much work due to cumulative tasks.
207,"Enjoy the challenges and coworkers Challenging job Great, knowledgeable coworkers Opportunities for growth The company is too big Bureaucracy"
208,"Nice place for start Interesting projects, People, Nice office Salary, Corporate style, Mngment, Methodologies"
209,"Nice place for start Interesting projects, People, Nice office Salary, Corporate style, Mngment, Methodologies"
210,Work review Good place for Automotive embedded systems Engineers None nothing really bothered me
211,"Benefits Good benefits, time off etc. Constant changes in employee turn around"
212,"Good experience Good conditions , atmosphere and management Hard to get promoted, no benefits"
213,"Great team Good work enviroment, good salary No negative feedback for this company"
214,Very good It is a very good work place I don’t have any cons
215,Nice place to work They ensure the Job Security and the work environment is also good Facilities can be improved bit more
216,Review headline Challenging work & very nice colleagues Slow management decisions Bad canteen and food
217,Lost Focus on Manufacturing Global Company with an innovative working team Sr. Management has lost focus on manufacturing and it could have a negative impact in the long term
218,"work It was my first job out of college, and I liked most of the people I worked with. I got to work on some interesting stuff. There was a big age gap when I got hired, as most of the engineers had been there pre ~2008 crash. There was a period there where the company took on a more projects that its personnel count could support, so there was a good chunk of salaried overtime."
219,Good company Work environment is good and this is excellent opportunity to learn about future mobility. It is hard to balance between work and life.
220,"A company under transformation If you like challenges, and change Aptiv is the place for you, the company right now is evolving from being a pure manufacturing company to become an Industrial Tech one, developing technology that can make vehicles safer and more connected. Aptiv genuinely cares for people There is constant change in the company as part of the transformation."
221,"Poor company culture, poor management, constant organisational changes Relaxed work environment. Interesting technologies to work on. Friendly people. Quite a lot of hypocrisy and discrimination when it comes to salary and roles (but also getting a job). This is specific to HR, but not only. Very difficult to get a job offer without an internal referral. Micromanagement at all levels. Slow decision making process, decisions often overturned."
222,"Good Company, Good Learning Opportunity 1. Work culture is quite open and almost like a startup 2. Great learning opportunity if you are willing to learn 3. Freedom to develop new things and experiment Salaries should be higher. Need to standardize certain work protocols"
223,Good company very friendly co-workers and challenging task to keep you motivated none from my experience working at Aptiv
224,"Good opportunities to learn Self learning, and opportunity to move within the company Salaries are not competitive in comparison."
225,"Best Company in automotive, offers good package to employees Nice place for work, supportive staff. Nothing to mention here right now"
226,"environment is all about politics good place for people just want to get paid, doesn't matter if you can do the work or not as long as you got hired here the direction of how to do self-driving car is wrong here, already falls behind the industry, but the marketing is really good at bluffing, and makes its stock price looks pretty good. But this is not good for your career path, and you will find your skills are mostly out of date in the related industry."
227,Work Life Balance good Work Life Balance and for career growth nothing to be updated now
228,"Good learning experience Good learning experience, got opportunity to explore different areas Nothing that has till date"
229,Good Company for Freshers with attractive incentives 1) Attractive Incentives 2) Good Heath Benefit Insurance 3) Good 401K Match 4) Friendly Work Culture 1) Frequent Management Changes 2) Unstable Hierarchy stack 3) Unpredictable Management decisions 4) Middle Layer Management Issues
230,"ok good working environment, food, poeple management, salary, projection, life-work, shifts"
231,"Good company to work at Lots of benefits (medical,dental,etc) Access to many new technologies. Management could be a bit toxic sometimes."
232,Experience ok transport was provided by company no growth opportunity in the company location
233,Nice Nice industry and working on popular area Nothing special to complain about
234,"Software Engineering at Aptiv MTC Flexible hours, great team and staff, interesting work. Not the best paying company in the field."
235,Good learning but hard work Good process and skilled employees Process implementation gaps and work pressure
236,"Good place to work Very friendly people all around, suppose if you get stuck people will help you for sure Accept the things and go, that's it if you love your work."
237,"Good management Good management, cooperative teams and transparency Not a high salary in Poland"
238,good good learning there at aptiv no visibility to the upper managment
239,"Software Developer Great group of people, company sponsored events Time off difficult to navigate with work load but encourage to take"
240,Bittersweet experience Compensation 401k matching upto 7.5% Work-Life Balance Abreast with latest technology trends Co-operative and collaborating culture Work location Lengthy project execution Hiring low quality employees during hiring sprees
241,Great Benefits Aptiv has great benefits and very understanding of work-life balance None that I can think of!
242,"Tough Environment Pay is very competitive, Interesting Work Benefits, Workplace Culture, Regular Restructuring"
243,Great learning experience Get to learn a lot. You feel contributing a lot. Worklife balance Not enough fun activities conducted at office
244,Good 401k benefits Good 401k benefits and good pay. Provides relocation assistance. Sometimes you have to work late due to software releases and testing activities
245,Program Manager Good strategic direction of the company Lot of internal changes in the company
246,Great company Very chill and laid back work environment. The salary was a bit lower than expected.
247,"Active Safety / User Experience Leading tech in growing areas of the automotive industry with lots of potential. Lots of talented people and opportunity to work with people from around the globe with varying ideas & perspectives. Management silos created road blocks and duplicate efforts that didn't align with other group efforts & management not being transparent with employees about future business path. They don't value experienced people as they should but rather employ lower cost entry level people. I predict closing the North American Infotainment & Driver Interface business will be a mistake in the long run, when historically it was always profitable for the company. But Autonomous & related Software/Services are now their only focus."
248,"Algorithm Developer Great manager, work life balance frequent management changes, poor tech lead"
249,Program Manager Great people to work with Long hours / hard to balance work and life
250,Good and stable company. The employee work-life balance is important. As most of the companies great part of your development depends on your manager.
251,"Mobility, Autonomous Vehicles, Driver Monitoring Systems 1. Technically ahead of the curve 2. Engineer friendly work culture to die for! 3. Individuals can work thru the org to develop or grow themselves, there is place for all 4.Open culture respects diversity 5.Open leadership communication, Flexible 1. Branding attention required in India"
252,Work-life balance and salary package are the problems Good technology and learning opportunities Work life balance Salary increments are poor No fun activities
253,Very supportive employer A lot of projects and easy team change Nothing much to describe. Would be better if there was more work from home option
254,"Decline in manufacturing world at Aptiv It is hard to come up with any.... Corporate leaders keep squeezing the budget and will not hire people in our manufacturing plant. We are losing people and management will not replace them. We used to have three electrical controls engineers and are now down to one. If he is off and we have problems, who do we call? Same is true for the process engineers working on the manufacturing floor. Management does not want to replace the guys that left and expect the other process engineers to deal with it. Not sure how one guy can do the work of two people."
255,"Terrible Place to Work Competitive salary, great teammates, international environment Low transportation allowance, poor organization at all levels, frequent changes of plans"
256,"Decent place fun exciting palce to work some people arent great, some managers"
257,"decent place always busy, latest technology, nice work environment bottom line means the most"
258,"Nice place to learn, cutting edge technologies 1.Always be the first one to adapt new technologies 2 Diversity of projects 3.Friendly work environment 4.Pay is good compared to its competitors 5.Annual hike percentage is good 1.Tight deadlines 2.Work pressure 3.Too much of work load. 4.No food,quite useful tip i feel 5.No onsite ,zero i would say"
259,"Worst company in the world Nothing for me to add Lack of organization, massive owertime,"
260,Great place for work Amazing projects for future cars Too many roles and not clear responsibilities in the project organization. Project scaling not optimal.
261,"Highly engaged and transparent leadership Clear vision and encourages employees to think like owners Convenience of IT, difficult to turn off"
262,"Product: Bussed Electrical Centers Great place for learning, good benefits, excellent facilities Not big opportunities to grow internally"
263,Worth Exploring Strong vision and focus on employee safety Lacking communication about role expectations
264,Worth Exploring Strong vision and focus on employee safety Lacking communication about role expectations
265,"Work Life Balance Good place for Learning, good knowledge growth , good labs no good facilities , like cafeteria , and campus"
266,"Amazing project Great people, great env, open minded Long hours, sometimes stressful, working hard"
267,Aptiv Morocco not recommended Good professional first learning experience. Toxic envirement no encouragement stressful envirement low evolution opportunities weak HR management Basic salery and no extra ever
268,Just okay for learning 1. Learning curve 2. Flexible working hours 3. Good colleagues 1. Pathetic infrastructure 2. Canteen is a disaster; food sucks to the core. 3. No bonus 4. Onboarding and exit process is more challenging than the projects executed. HR department is as though non existent in the organization. Too much paperwork.
269,Legacy company No any issue in aptiv Good carrier growth for long buisness
270,Good experience Good experience for entry level position Leadership doesn’t listen to employees only their cliques
271,International work environmet Very international environment in its facilities No bonus provided to its emplyees
272,Material planner No proper lunch and its common No personal and work life balance
273,"Good company to work Good learning, flexible working hours, freedom for doing right things Lack of vision locally in TCI"
274,"Kai works with Engineers at different location. Workplace harmony, in that co-worker does their level best to help one another Server for project management occasionally shuts down"
275,"Toxic work environment Salary is competitive Good technology Benefits are good Industry on a positive trend Highly toxic work environment. Workplace bullying tolerated. Starts from the CFO and rolls down. HR doesn’t care. They are scared to do what is right. Everyone bad mouths other groups and other employees as a habit. Profanity, aggressive behavior, and backstabbing culture are the norm."
276,"Nice Place to Work - May be poorly managed Nice atmosphere, generous salaries, nice facilities and benefits Money problems, layoffs, moving jobs to Mexico"
277,Work here at your own risk Nothing much except for the fact that there are some good projects but one has to be lucky to work on those projects. And yes expect a good learning curve because most of these projects are not very well structured and are rather mis-managed. Bad work life balance for engineers. Lateral hires are over-promised and it leads to a lot of issues. Mid-level managers (Lateral hires in particular) are considered very much redundant and their job security is under lot of risk. Financially company is not doing very well. Immature management. Aptiv India is globally not very well recognized within Aptiv.
278,"Do your research, mobility vs manufacturing. Great sales pitch, and relocation. Lies, confusion and tons of miserable people locked in their relocation. No integrity, loyalty or supporting environment. Toxic culture."
279,"Great learning opportunity. During my time there, the company transitioned to Dublin, Ireland Minimal management direction and no career path"
280,"Exciting place to work! Great people, greaqt vision, exciting technology Never enough time to get everything done"
281,Great Friendly environment and nice place to work I personally did not found any Cons
282,amazing flexible time and good pay and amazing supervisor onboarding experience and job location
283,amazing flexible time and good pay and amazing supervisor onboarding experience and job location
284,"Aptiv Auto-Driving Team Review Friendly and free environment, good work-life balance No cons until I left"
285,Senior Technical leader ownership work life balance visibility Learning Job safety Salary is no more competitive. Rewards
286,"Excellent Culture Excellent culture and attention paid to employee needs. No cons to speak of so far, great company in a burgeoning industry."
287,Overall Nice Place to Work At Great Teams. Great working environment. Cafeteria food sucks. Too less company holidays
288,Best place to work in Automotive domain Pay is Good Work life balance Sufficient leaves Medical insurence No much onsite opportunity Sometimes projects are less Less R&D project for India sites Less projects from indian OEMs
289,CONSTANT RESTRUCTURING COMPANY A big company with great culture A lot of restructuring of the company therefore constant threat of layoffs
290,Great company with some downfalls Great pay. Schedule for a VO is 4 - 10 hour shifts during the week. Benefits package is on the lower end for a 'start-up' with a lot of money. Not much job growth or movement once you're in your hired role
291,"Interessante Aufgaben, schlechtes Management Interesting tasks and field. Bad management, decisions are very sudden and not properly thought through. The company is just trying to take as much projects as they can while not having the capacity or competency to execute them, ending up in bad work-life balance for employees and chaotic operation."
292,"Start Up Company, Growing Pains, Diversity, High Tech, Multi City/ Country One of Companies with Top Paying driving position in Vegas. Provides snacks and drinks. Lunch once a week. Employee Center with big screen tv with game consoles, Ping Pong and Foosball tables Monthly news updates. Management is always open to new ideas. Bad Attitudes from some Vehicle Operators. Vehicle Operators that were let go have bad reviews due to their misguided opinions on how to run a company."
293,"Good company to start with Work life balance, Good exposure, management is good Salary is not so good"
294,"autonomous driving Good working enviroment, good project at company. architecture disorder, change a lot which wasting time"
295,Great Place to work High tech. Collaborative environment. Great benefits. No cons to bring up at this point.
296,"GOOD PLACE Good Working Environment Decent Pay Less Pressure Job Security, No Future Plans for the Design Engineer, Nothing to study new"
297,Very comfortable work environment Great work environment. Top of the line equipment. Keeps employees in the loop of what's going on with the company. Great pay Kind of lacking on follow through from upper management sometimes.
298,Good challenging work Good work and work culture Dynamic and agile I don't think there is any
299,"Miserable Place to Work Competitive Pay and benefits. That's it. Poor management, high stress, excessive hours."
300,Technical Lead Very nice company to work Salary little less as compared to market.
301,Review Good work profiles and career growth Not sure as of now
302,Pretty Good School comes first and they know that to be true Communication is slow with other branches and you are often sitting on your hands doing nothing (also kind of a pro though)
303,Good company to work for Good product company to work on new technology. Working both in infotainment and ADAS domains. No variable pay Good work life balance at Aptiv. Facilities needs to be improved
304,"Great environment and people Competitive pay, great people, the benefits are really good, and many opportunities to move into areas of interest. Holidays could be better and slow on boarding into the job."
305,"Great benefits. Good co-workers Great 401k Match and HSA contributions from Aptiv. Aptiv sponsored Education Assistance. Affordable insurance plans. Good employee discount portfolio Subsidized food at the cafeteria. Some of the brightest minds in the industry are currently working here. Great future outlook and opportunity to create products that will help people in real world. Insurance plan is high deductible HSA. While Aptiv contributes to the HSA account, the out of pocket maximum is quite high. No flat co-pays at ERs and Urgent Cares. As a relatively new company with people from all backgrounds, the processes have something to be desired."
306,Indirect Procurement Fast learning and vast opportunities for career advancement Continues high management strategy readjustments
307,"TERRIBLE LEADERSHIP Very nice people to work with Leadership is terrible. They discuss employees with other employees, attack you when they don't understand and always play the blame game. Some of the management screams and yells at their employees to the point that their employees are in tears. This is The atmosphere in the company is so difficult and people always feel like they are walking on eggs around leadership in HR not knowing what to expect from one day to another. I worked for the company for a very long time and loyalty doesn't mean a thing to them."
308,Good Environment Good Salary and work culture Nothing like cons in aptiv
309,"Dysfunctional at its Best Other than a decent compensation , not much pros here. Highly Political . No Value for good work.. No Over Time.. No more a North American Company , every project is heavily outsourced/offshore based , Management has no vision or clarity , Lack of Transparency and interest towards employees."
310,"Evil There are none. This company is evil. HR and Legal middle-management are stupid, arrogant and cruel. Avoid working in these areas. Also beware of working for a company with HR staff who are so mean-spirited."
311,Very interesting company to work for Freedom and research nature Creates cool autonomous vehicles The office is located outside of CBD
312,"Senior software engineer Great work ethics and good environment Low pay, non flexible if you'd want to explore more in different teams"
313,"Innovating and growing company in the automotive space Great overall benefits and good culture. Good worklife balance. Company is well-positioned to take advantage of the trends in Safety, Green and Mobility Healthcare benefits are not as great."
314,Great Place to Work! Solve exciting and tough engineering problems. The innovation is very rapid and everyone is passionate about their work. Typical pains of companies experiencing fast growth.
315,"Beginner level mistakes are still frequent Salaries are high because they have a hard time attracting good talent. Management at Pittsburgh office is mostly incompetent. Some leaders are clueless to the role they serve, being too smart to ever consider they don't know what they are doing. They are making beginner level mistakes with regards to how to manage people and not putting competent people in important roles. They manage to miss deadline after deadline because they realize they have built so much framework on an inadequate foundation, which makes everything new hard. Constant fighting with corporate office in Boston creates more chaos and a lack of leadership or direction. There are smart people at Aptiv, however - the really smart people leave quickly."
316,Great Management Good Management system and good pay Less employee benefits and Team spirit is low
317,"Overall Good Overall Work Culture is Fine. Salary is Fair. Flexible Timings. Work from Home Options (based on roles & responsibility). Freedom to express when it comes to work. Domination on Employees is less. Work Results were always appreciated & acknowledged through certifications & rewards. Hardwork is always recognized. In certain ways, People caring they execute. Work life balance possible, if expectations are kept always less. Workload depends on the project one works. Cafeteria Facilities are worse. Career growth inside the Organization is heavily limited. Designation will not be given even for well experienced. Expectations are always high. Less Engineering Resources. Abroad Opportunities are less, if one looks for it. Besides, taking up Aboard Trips from start till bill settlement is hectic."
318,Short Term Review There is a pretty flexible work schedule with a quick assignment of responsibilities. Benefits aren't as competitive as I hoped while on-boarding process isn't very clear and concise.
319,Good company and environment Good Pay Nice Colleagues Good work Immense opportunities Worst canteen. Bachelors struggle for food. No fun at work
320,"Easy work, pay is alright. Almost not worth the internal nonsense if you know your value and won’t compromise that. Snacks, gym, company phone. 1 free meal a week and the benefits are ok. And the job itself is cool and cutting edge. Most of the people are cool and will get down after work. Benefits are expensive and require somewhat significant additional costs ( hope you don’t actually need healthcare) the management is more talk than action and tell you to do one thing and they do another (usually something they told you not to do) Communication is poor at times, seems like they don’t pass on the important stuff to one another. HR is a nightmare and deliberately targets workers with what seems like impunity and personal motivations. The free meal every week is at times questionable (undercooked chicken and stuff like that) the lunch break is a bit short. Drivers voice concerns and they don’t seem to hold a lot of value, even with things concerning safety or similar issues. Overall the environment is a “do as I say, not as I do” mentality, and if you don’t like it leave. You have a personal life? That’s fine as long as it doesn’t interfere with your job of being a taxi driver. Favoritism is alive and well, but don’t say anything about it. They know and don’t seem to care. The people who take it serious and want to do the best they can and are genuine don’t matter. Fake it until you make it is the name of the game. Oh and want to make one of those confidential complaints or report an issue? Better do it from somewhere else because the so called line and website to do so is not even accessible from your work phone or office WiFi, and the number provided is apparently disconnected and unreachable! If you are looking to waste your time but collect a check this is for you! Show up, shut up, and do the minimum is the name of the game. And their so called transparency is just that, so called. They tell you what you want to hear and you’re supposed to like it."
321,"good people, poor values Good teams, dedicated people, truly international company Aptiv do not care about its own people, became US centric since few years"
322,Financial Jenga pulling out as many things as possible before it falls In a lean organization you get exposure to many things above your pay grade It is distracting when you are concerned that another round of restructuring will catch you in their net.
323,Electrical engineer It is nice people around you. Family kind of atmosphere. Here and there there are some fun projects to work on Bad upper management. Yearly reviews can be painfull. Pretty slow career progression. Not a good work life balance package. You have to buy extra vacation time
324,Average Enough time to learn new things for freshers. It is very difficult to adapt working culture
325,"IT Supply chain manager Analyst Big company, good culture, values, good atmosphere is temporary collaborating on a temporary project"
326,Great Place to Work Great perks & benefits Great people Not close to city center
327,Great Place to work Great company with innovation and willing to support their personnel on preparation. Work environment needs to be improved.
328,Great Place to work Great company with innovation and willing to support their personnel on preparation. Work environment needs to be improved.
329,"Great place to develop personally and professionally Familiar atmosphere, no visible hierarchy in the office, collaborative people and good energy. Very good organizational approach from management. Continuous training on board and possibility to grow and develop. Honestly I don't see any."
330,Good experience. Qualified and experienced peers. Good tools. Relationship between business and IT teams could be better.
331,Intern Work-life balance and better perks. There are no cons with respect to this company.
332,good very good with good work life balace everything is going good nothing cons to say
333,"Low stress work environment with beyond poor management Low stress, great work schedule, pay is more than sufficient, most employees are friendly and approachable Beyond poor management, any good suggestions fall on deaf ears, if you are incompetent at your job they'll create one for you and promote you, if you worked with your manager at a previous job you get special treatment, safety isn't job number one, no ability for upward movement unless you complain all the time about your job and they'll put you in secret teams with more ability for growth, the older you are the less likely you'll keep your job through a restructuring of the company"
334,Easy work; but they will lay you off in a minute and will have you off for weeks. Easy repetitive work; can learn different task Being laid off within short notice
335,"Not so good Salary is good, noone realyy check what you're doing on a daily basis Lack of development oportunities for me, no transparency, hierarhical management style"
336,"Technical Leader Good Work , Good Package Located in ITPL - Travel"
337,IMDS material Engineer Flexibility and decent people to understand each other in work Sometime Higher management makes employee feel uncomfortable
338,"Good for Working Students Good payment for a working student. Good place to get experienced. Friendly and helpful co-workers. The company is so hierarchical, every decision and act takes time. Almost everyone is working in more than one project, because of that communication and coordination takes time."
339,"High tech and fast paced The company focuses on retaining a high-end, high-tech product portfolio. Work in this area can be pretty exciting and rewarding. The company management is supportive. Very fast paced with schedules that cannot slip. Lots of new business - sometimes feels like more than the workforce can handle."
340,Pros and Cons Better work life balance and std. package limited career growth and poor management
341,Pretty good Laid back atmosphere. Do not feel overworked at any time. That is not due to lack of work. Automotive is a slow industry
342,"Financial Controller good team spirit, supportive collegues, ... bad erp system and it-performance"
343,Good to work Technical work is very good Flexible timings Career growth is too good Management is not so good No recognition and appreciation No support from management related to technical stuffs
344,"We used to be great Decent benefits Friendly co-workers Visionary early founders Acquisition ruined the company Tech is aimless with minimal or no real world significance Focus on short term corporate goals, sacrificing real long term research Our fleet is not growing Not hiring at all Good people leaving the company with no news or updates from the management, in USA or SG Feels like a fight for survival sometimes HR in USA is a joke"
345,"Good Company with good management Global expertise, good people, good culture Favoritism, Partial to certain people- some managers"
346,"Great place to start off your career As title says, it is great place to start your career. I have been working with Aptiv(previously Delphi Automotive Systems) for 7+ years. You will have great learning curve at the beginning. As the number of years progressed, opportunity has reduced. No defined role which leads to good learbing at the beginning of career, but later feels like Jack of all, master of none."
347,"No long term strategy Well positioned portfolio, Compensation is good. Leadership does not follow company's values, lack of synergy among different business units."
348,Super company Good to learn this place HR not like HR nod good
349,"Braga Technical Center - Young Team; - Very nice atmosphere; - New Open-space office; - Focus on results, not people; - Technical Center is still starting; - Not so much travel as they promise"
350,"Not at all comfortable place to work Nothing much. Retirement benefits are good. I was interviewed for one role and was given totally different role when I joined. Lot of work pressure. Management not sensible. Poor work culture . Expected to work on weekends, infact 24x7. They intentionally keep 1 hr meetings at 6pm. I was assigned bugs on Day2. My worst job experience so far in life.no good Chairs. No work life balance. I have to survive until I find a good job"
351,"AptivMobility Great colleagues, great work space environment. Awesome industry. Progression is non existent unless you're friends with the management."
352,Design engineer good working environment and no full night shifts no flexible shift and alternate Saturday working
353,"Polyvalent at Aptiv Salary always on time,health care,paid transport to work. Very frequent work at saturdays and working over time (although paid over time) Very stressful,unhealthy relationships between employees Broken and half decent machines,tools and equipment Bad work environment (super high temperatures with bad air flow) Employees with the same amount of hours at the same positions,even started working for the company the same day, getting different salaries (didnt make any penalties yet their salaries being poorly calculated, a.k.a. robbed,if you prefere) Super high unrealistic expectations from employees,that are working on broken/malfunctioning machines and tools Family and long time relationships dictating who gets promoted and who doesn't"
354,"I have loved working here so far. The people genuinely care about each other and their users! Great team, management listens to employees and works to address any concerns, good atmosphere even after acquisition. The employees genuinely care about making a safe and reliable product. Still maturing as an organization"
355,Excellent learning Opportunity excellent team to work with upcoming technologies facilities provided are not that much good
356,Software Engineer Not a single thing to look forward to. worst culture ever one can imagine
357,In state of flux Cater to milenials. Try to add youth to an aging workforce. Aptiv is tryy to figure out what they are. Constant change and no security. Moving jobs offshore whenever possible.
358,"Great Company to work with Good environment, good benefits, I would recommend it. During the time I worked there I saw no Cons"
359,Sinking Ship. Run fast in the opposite direction None that are worth the headache. No leadership. Terrible work environment. Executives lie through their teeth about the state of the company... which is not good.
360,"VO Awesome technology Good working environment Friendly colleague Bad management, lots of last minute plans, double management, managers are not on the ground and lack of knowledge. Bad communication between different teams, always make it mess. Zero career progression of current team, unless transfer to other teams and start as a fresh. Managers are actually do nothing but get more pay. Resources are limited for fresh to learn and get trained."
361,"Toxic chaos. Pay above market, reasonably good IT. Too many international development groups, too much offshoring. Inefficient communications as a result of offshoring. Chaotic product development and late hours."
362,"Good company Nice company, can learn many things Nothing to say about cons"
363,"if you are used to internal politics, do join, you will enjoy office timing is good, transportation facility, food, training's cannot work independently, lot of internal politics, everyone in organisation will try to pull you leg so that you don't grow"
364,"Not so gud for growth Good for fresher's to learn Politics , no growth .. not employee friendly,HR department is not gud"
365,"Good place to work and challenge yourself. High technology projects, good management and nice work environment. It's difficult to grow inside the company"
366,Great Company Working with absolutely brilliant people in a diverse environment is just great. A bit of bureaucracy as in all large organizations.
367,Worst working environment. Huge bureaucracy. Lost of upper management levels and departments that are useless. Large company leader in the industry Lots of mid to upper management levels that are only looking not to be fired. No contribution to the business and they lie to the executives about the financials. They make unattainable comments they role out every month and goals never get accomplished since the actual plans are not followed. Work ethics at some director levels are extremely questionable
368,Good company Flexible Work Hours and holiday schedule. Knowledgeable staff Cant think of any Cons
369,2 years at aptiv Good company for your carrier growth. medical is expensive compare to other company.
370,Excellent place to learn and grow Good Management Supportive peers Great work life balance Salary structure is not uniform
371,"Project Engineer Good Working Environment and humanly approach Nothing much, all is well and good"
372,Sold out US workers and lied to those in Ireland They subsidies the lunch room. Management lacks integrity. Executives are allowed to discriminate against employees and are backed bu HR in doing so. Career growth has been stopped so excellent employees are forced to leave. Management also sold out US workers with move of the HQ to Ireland. They could have made it work for everyone if they chose. People in Ireland also feel lied to. Just no integrity.
373,"Wonder Full Work Environment Good Work, supportive Management, great Work-Life Balance Growth Depends On the projects"
374,Poland opinion Nice and help-full people in team Management do not see why people left this company
375,Company with good opportunities in automotive sector. Good place to start with. No downsides as such.It also depends on the team one is working with.
376,"Work full of young professionals Many challenges, new projects, elastic work hours, well organised, amazing team integration There are no cons for me at this moment"
377,Very Nice company to work for! Happy tonwork here Employee friendly Management is good Good benefits to employees Flexible working hours Nice learning No pressure Not faced any till now
378,Software Verification Engineer - Student I work at a student lab. Great place to work part time while pursuing a degree. Leadership that is very understanding about school being a priority. Communication with other Aptiv branches can be sticky
379,"So so Good for New graduates to get experienced Low salary, long working hours, no reepect to loyalty"
380,Professional 1. Very Less Work Pressure 2. Decent Pay 3. Good HR 1. No environment to learn new things
381,Very good company Good leadership and great colleagues Frequent ups and downs and temp layoffs
382,"Good job for start people, atmosphere, events, benefits, multisport payment but the rest is ok"
383,"Run, don't walk to nearest exit. Above market pay, good PTO, Troy campus is beautiful. Layoffs are a common occurrence here so job security is non existent. 400 people were laid off on August 31st with more layoffs in Q4. My new recruiter refuses to work with Aptiv or Delphi to place anybody there due to the constant layoffs. (Wish I knew that before I took the job)"
384,"What happens in Vegas... Salary is very competitive for the area and the cost of living is reasonable, allowing a nice quality of life if you can take the summer heat. Nice to know one can afford to run the A/C and still eat something other than ramen (although there are some terrific noodle places here). Holiday/PTO option is generous when compared to other similar positions in this city and other benefits, such as complimentary snacks/beverages/happy hours, provide additional perks. Casual, comfortable, relaxed dress code is appropriate and much appreciated in the desert. Time off requests are easily approved and having a life outside of work is not just understood, but is actively encouraged. Extremely rapid growth premature to having functioning support systems in place can cause confusion, especially in new hires who are used to traditional, established, old-school style business . Rapid changes, which seem to be the norm, not the exception, might be difficult for employees who are used to rigid structure, micro-managing and strict schedules. No covered parking for employees."
385,Best company to work Nice work environment and friendly co-workers Under staffed for specific roles including mine.
386,Stay away from APTIV chennai office No Pros at this company Saturday working day which will not be communicated during recruitment. they will not allow you to take even 5 leaves in a year.
387,"Hybrid Systems Engineer Challenging work and responsibilities. Very capable systems and tools, reference material online. Strong core structure. Outside Leadership seems to be focused on financials. No longer puts customer or employees as it pillars. Customer Focus is gone, Employee growth and stability is gone. Quality is not focus if it requires investment. Older engineers skating by until retirement. Internal departments no longer working together and instead have to worry about budgets. Sad what this has become."
388,"Senior Financial Analyst Competitive pay, hiring process is straightforward, vacation and holiday is comparable to the big 3, and facilities in Troy are modern and clean. If you have any self-respect, do not work here. The company is highly disorganized. Finance processes are undocumented and adhoc. Management is out to please themselves and will stab you in the back if need be."
389,"Current State Product Lines are innovative and high-tech Leadership is only concerned with pleasing Wall Street, mergers and acquisitions, and short-term cost cutting at the expense of continuous improvement. People, required skill sets, and basic business fundamentals are not a concern."
390,Driver Great company to be a part with Not so great company to be a part with
391,Account Manager They offer good base salary They do no have a good work life balance
392,"it's a job, not a career Good pay, flexible work schedule No opportunity for advancement or even moving to a different job, workforce reductions in order to satisfy investors, complete lack of leadership. I have never before seen an organization where supervisors and managers are clueless about what their employees do. The division in Warren is split in 2 groups- wiring and components. There is no ability to move from one to another - even for posted jobs you apply for."
