,Title,Rating,Designation,Pros,Cons,Date,Position,sentiment,all_features
114,Good to work,4,"Former Employee, more than 1 year",Good learning curve Good Projects Good Management,Less Salary Less benefits No work life balance,2021," Software Test Engineer in Troy, MI",1,Good to work Good learning curve Good Projects Good Management Less Salary Less benefits No work life balance
115,Bad company,1,"Former Employee, more than 1 year","Not that I can think of, noup.","Small salary, no paid overtime, and night shifts.",2021, Driver/Forklift Operator and Cargo Handler ,0,"Bad company Not that I can think of, noup. Small salary, no paid overtime, and night shifts."
116,Great atmosphere,5,"Former Employee, more than 1 year",Leadership always improving and considering employees. Provided support during COVID. Always conducting survey to get employees opinion.,Not easy to find the right person that knows what you are trying to solve but have to do some searching.,2021, Software Engineer in Gothenburg,1,Great atmosphere Leadership always improving and considering employees. Provided support during COVID. Always conducting survey to get employees opinion. Not easy to find the right person that knows what you are trying to solve but have to do some searching.
117,Greate working Enviroment,5,Current Employee,"flat & flex organization, quick response, quick action",not very sure about this,2021, Technical Manager in Tokyo,1,"Greate working Enviroment flat & flex organization, quick response, quick action not very sure about this"
118,"Excellent Company, great people focus",5,"Current Employee, more than 10 years","Quality of work, people caring, innovation",Little bit work life balance,2021, Chief Engineer in Bangalore,1,"Excellent Company, great people focus Quality of work, people caring, innovation Little bit work life balance"
119,Aptiv Born To Move,4,"Current Employee, more than 10 years",Great place to work and learn in leading automotive technology,No concerns on Aptiv Bangalore,2021, Engineering in Bangalore,1,Aptiv Born To Move Great place to work and learn in leading automotive technology No concerns on Aptiv Bangalore
120,Was a great team,5,"Former Employee, more than 1 year",None that are worth the headache.,- Had a lot of corporate bloat software that was complex and difficult to manage what was important and what wasn't,2021," Electrical Engineer in Auckland, Auckland",1,Was a great team None that are worth the headache. - Had a lot of corporate bloat software that was complex and difficult to manage what was important and what wasn't
121,Great experience,4,Current Employee,Very good work environment and culture,Work load may vary based in project needs,2021, Systems IS Engineer ,1,Great experience Very good work environment and culture Work load may vary based in project needs
122,Good life work balance,4,Current Employee,"Good life work balance, nice work culture",Slow in adapting to new technologies,2021, Systems Engineer ,1,"Good life work balance Good life work balance, nice work culture Slow in adapting to new technologies"
123,The BEST Automotive Company,5,"Former Employee, more than 1 year",I've worked for many different automotive companies and Aptiv is surely the BEST. Great Pay Great Benefits Great colleagues Great management team Great Office Building Great Environment Great Technology Great Global portfolio,Not Applicable. There is none.,2021," Vehicle Test Engineer in Troy, MI",1,The BEST Automotive Company I've worked for many different automotive companies and Aptiv is surely the BEST. Great Pay Great Benefits Great colleagues Great management team Great Office Building Great Environment Great Technology Great Global portfolio Not Applicable. There is none.
126,A good company to work on,5,"Former Employee, more than 1 year",They treat they employees very nicely and there's a very nice communication between management and employees.,Sometimes workloads are impossible to handle.,2021, ITV Technician in Ciudad Juarez,1,A good company to work on They treat they employees very nicely and there's a very nice communication between management and employees. Sometimes workloads are impossible to handle.
129,Great culture,5,"Current Employee, more than 10 years",A work environment in which you have the opportunity to learn and develop professionally.,I don't any cons about.,2021," Human Resources in Ineu, Arad, Arad",1,Great culture A work environment in which you have the opportunity to learn and develop professionally. I don't any cons about.
130,Great place to Work and learn!!,5,Current Employee,If you are a fresher then APTIV is great place to start with . As the working culture here in Aptiv is very adaptive . Aptiv has a ability to build professional relationships with colleagues.,"As there are pros as well as cons for everything,i will not say much but as Aptiv has customers from all around the world, you may have to adjust with the working hours sometime.",2021, Senior Software Engineer in Bangalore,1,"Great place to Work and learn!! If you are a fresher then APTIV is great place to start with . As the working culture here in Aptiv is very adaptive . Aptiv has a ability to build professional relationships with colleagues. As there are pros as well as cons for everything,i will not say much but as Aptiv has customers from all around the world, you may have to adjust with the working hours sometime."
131,Aptiv review,5,"Current Employee, more than 1 year",Great opportunity to grow and develop skills in an international environment,Very fast changing industry that requires fast adapting,2021," Recruitment Specialist in Leskovac, Central Serbia, Central Serbia",1,Aptiv review Great opportunity to grow and develop skills in an international environment Very fast changing industry that requires fast adapting
132,fair empolyer,4,"Current Employee, more than 1 year",flexible hours home office many possibilities,the management is a bit messy especially in the advanced engineering.,2021, System Engineer in Wuppertal,1,fair empolyer flexible hours home office many possibilities the management is a bit messy especially in the advanced engineering.
133,Good Place to Work At,5,"Current Employee, less than 1 year","Good Management, great work-life balance","Less flexibility in terms of working from a remote location,",2021, Data Analyst in Singapore,1,"Good Place to Work At Good Management, great work-life balance Less flexibility in terms of working from a remote location,"
134,Feedback about Aptiv,4,"Former Employee, more than 3 years",Work life balance and good platform to learn the technology,CTC is not upto the mark,2021, Advanced Software Developer in Bangalore,1,Feedback about Aptiv Work life balance and good platform to learn the technology CTC is not upto the mark
135,Decent place,5,Current Employee,Great work culture. Understanding with time off,Hard to climb up the corporate ladder,2021, Electrical Engineer ,1,Decent place Great work culture. Understanding with time off Hard to climb up the corporate ladder
136,Great company,4,"Former Employee, more than 1 year","nice environment, inclusive, good opportunities",a large company so slow to decision making,2021," Senior Engineering in Auckland, Auckland",1,"Great company nice environment, inclusive, good opportunities a large company so slow to decision making"
137,Good,4,"Current Employee, more than 1 year",good place to work in,very big company small impact,2021, Software Test Engineer in Kraków,1,Good good place to work in very big company small impact
138,"Great place to work, but long term job stability questionable",4,"Former Employee, more than 10 years","High tech challenges, good benefits, great colleagues.","Aptiv has a ""flexible business model"". Part of this is they will quickly shut down an operation or location to move to a more cost effective location. Aptiv is run by finance people not engineering leaders.",2021," IT Senior Manager in Kokomo, IN",1,"Great place to work, but long term job stability questionable High tech challenges, good benefits, great colleagues. Aptiv has a ""flexible business model"". Part of this is they will quickly shut down an operation or location to move to a more cost effective location. Aptiv is run by finance people not engineering leaders."
139,Be here now,5,"Current Employee, less than 1 year",Very good company to work in,"Nothing special, it’s a pleasure to work in",2021, Human Resources Manager in Tangier,1,"Be here now Very good company to work in Nothing special, it’s a pleasure to work in"
140,Be here now,5,"Current Employee, less than 1 year",Very good company to work in,"Nothing special, it’s a pleasure to work in",2021, Human Resources Manager in Tangier,1,"Be here now Very good company to work in Nothing special, it’s a pleasure to work in"
141,Aptiv - Open and Friendly,4,"Current Employee, less than 1 year","Aptiv for me means an open-minded, diverse company.",Approval processes are unflexible and slow.,2021, Senior Talent Acquisition Specialist ,1,"Aptiv - Open and Friendly Aptiv for me means an open-minded, diverse company. Approval processes are unflexible and slow."
142,Nice place to work,4,Current Employee,There is free coffe available,None beside actual pandemic situation,2021, Software Engineer ,1,Nice place to work There is free coffe available None beside actual pandemic situation
143,Awesome work environment,4,Former Employee,"Loved it, was a relaxed environment",Not a whole lot of room for growth,2021, Anonymous Employee ,1,"Awesome work environment Loved it, was a relaxed environment Not a whole lot of room for growth"
144,Decent company to work for,4,"Current Employee, less than 1 year","Good colleges, decent salary and can be a good fit for a lot of peop",Sometimes the responsibilities are not clear,2021, OTC Specialist ,1,"Decent company to work for Good colleges, decent salary and can be a good fit for a lot of peop Sometimes the responsibilities are not clear"
145,Fast phased cutting edge technology,5,"Current Employee, more than 1 year","Fast phased , step learning , cutting edge technology","Work life balance , Not a process driven company",2021," Systems Engineer in Troy, MI",1,"Fast phased cutting edge technology Fast phased , step learning , cutting edge technology Work life balance , Not a process driven company"
146,Good environment,4,Current Employee,Very Good starting salaries and big projects,No bonuses are available and the increase in salary is weak,2021, Functional Safety Engineer in Kraków,1,Good environment Very Good starting salaries and big projects No bonuses are available and the increase in salary is weak
148,Great Opportunities but can easily be pigeon-holed.,4,"Current Employee, less than 1 year",Great teams to work with; some career growth and exploration if you have the right manager looking out for you.,Sometimes a little too Lean in the employee workforce.,2021," Field Applications Engineer in Troy, MI",1,Great Opportunities but can easily be pigeon-holed. Great teams to work with; some career growth and exploration if you have the right manager looking out for you. Sometimes a little too Lean in the employee workforce.
150,Great,5,Former Employee,Great group of people all around,Early stages of figuring it all out,2021," Operations in Las Vegas, NV",1,Great Great group of people all around Early stages of figuring it all out
151,Well paid and interesting but you will loose your mind,2,"Former Employee, more than 1 year",Good Salary and interesting technology,"Bad working atmosphere, tough management",2021, Mechanical Engineer in Braga,0,"Well paid and interesting but you will loose your mind Good Salary and interesting technology Bad working atmosphere, tough management"
152,lots of bureaucracy,2,Former Employee,"Well, there are none. Just make your money worth",there are lots of bureaucracy,2021, Vehicle Tester/Engineer ,0,"lots of bureaucracy Well, there are none. Just make your money worth there are lots of bureaucracy"
153,OK,2,"Current Employee, more than 5 years",ok working there nothing much to complain,ok working there nothing to grow,2021," Warehouse Worker in Ang Mo Kio New Town,",0,OK ok working there nothing much to complain ok working there nothing to grow
154,Middle of the Road,4,Current Employee,"Lots of growth opportunities, and some of the best coworkers I've found yet in my career. The things we've been able to accomplish across the globe with multi-national teams have been truly remarkable.","The culture at APTIV is more of a shapeless forming blob. As Delphi, APTIV had a distinct culture of ""Excellence"" stemming back to the Packard days, and a proud history there as well. Companies such as Control-Tec and Unwired also had their own distinct cultures that were more like google and made your team feel more akin to family. Plenty of work got done above and beyond due to this. Now those have been stripped away into the APTIV Culture, and it is palpable in comparison to those hay-days.",2020," Senior Systems Engineer in Auburn Hills, MI",1,"Middle of the Road Lots of growth opportunities, and some of the best coworkers I've found yet in my career. The things we've been able to accomplish across the globe with multi-national teams have been truly remarkable. The culture at APTIV is more of a shapeless forming blob. As Delphi, APTIV had a distinct culture of ""Excellence"" stemming back to the Packard days, and a proud history there as well. Companies such as Control-Tec and Unwired also had their own distinct cultures that were more like google and made your team feel more akin to family. Plenty of work got done above and beyond due to this. Now those have been stripped away into the APTIV Culture, and it is palpable in comparison to those hay-days."
155,Great Place to Work,5,Former Employee,"There is flexibility, profesionalism and compromise","I can't think of one, it aways depend on the business unit",2021, Technical Manager ,1,"Great Place to Work There is flexibility, profesionalism and compromise I can't think of one, it aways depend on the business unit"
157,Work Life balance,5,"Current Employee, more than 3 years",Maintaining a good focus and good management,Less work life balance due to work pressure,2021, Systems Engineer ,1,Work Life balance Maintaining a good focus and good management Less work life balance due to work pressure
158,Great company,4,"Current Employee, more than 1 year",Lots of things to learn,Lots of work to do,2021," Function Owner in Sterling Heights, MI",1,Great company Lots of things to learn Lots of work to do
159,Great Environment,4,"Former Employee, more than 1 year",The environment is very nice and supportive. The people are really friendly and ready to help.,"The working plan is not very clear, the hierarchy is not well structured and a lot of people are taking the decision.",2021, Working Student in Wuppertal,1,"Great Environment The environment is very nice and supportive. The people are really friendly and ready to help. The working plan is not very clear, the hierarchy is not well structured and a lot of people are taking the decision."
160,Nice and lot of learning,4,"Former Employee, more than 1 year","Quality food,free transport,satisfy salary, supportive management.",Sometimes 12 hours shift and not given leave,2021, Machine Operator in Vallam,1,"Nice and lot of learning Quality food,free transport,satisfy salary, supportive management. Sometimes 12 hours shift and not given leave"
161,overall good experience,4,"Former Employee, more than 3 years",company has interesting products and projects,the work atmosphere and the workstyle is more traditional,2021, Development Engineer in Wuppertal,1,overall good experience company has interesting products and projects the work atmosphere and the workstyle is more traditional
162,Good technology and top level active safety leadership,4,Current Employee,Some very good active safety leadership at the very top level Many strong engineers at the working levels,Need to root out the bad leaders who compromise the organization,2020," Chief Engineer in Troy, MI",1,Good technology and top level active safety leadership Some very good active safety leadership at the very top level Many strong engineers at the working levels Need to root out the bad leaders who compromise the organization
164,Great company!,5,Former Employee,"Good pay, good bonus at the end of the year, good benefits and good management",Cannot think of any cons. I learnt a lot and had a good experience overall.,2021, Anonymous Employee ,1,"Great company! Good pay, good bonus at the end of the year, good benefits and good management Cannot think of any cons. I learnt a lot and had a good experience overall."
166,Pathetic place,1,"Former Employee, less than 1 year",Free travel. Free food in the canteen.,"Pathetic place to work. Apart from traveling allowance, nothing is good about the organisation",2021, Anonymous Employee ,0,"Pathetic place Free travel. Free food in the canteen. Pathetic place to work. Apart from traveling allowance, nothing is good about the organisation"
167,Innovation,4,"Former Employee, more than 1 year","Great Work, Innovative Team, Smart People, Collaborative Environment, Leadership Transparency",Management can use more training.,2021," Identity and Access Management Engineer in Boston, MA",1,"Innovation Great Work, Innovative Team, Smart People, Collaborative Environment, Leadership Transparency Management can use more training."
168,Great people!,5,Former Employee,Good colleagues and great working environment,sometimes - no scope for further development and lack of opportunities,2021, Systems Engineer in Wuppertal,1,Great people! Good colleagues and great working environment sometimes - no scope for further development and lack of opportunities
171,Very good company for beginners and professionals,5,Current Employee,- new techology in automotive -,None at the moment,2021, Project Manager in Kraków,1,Very good company for beginners and professionals - new techology in automotive - None at the moment
172,Still ok,2,"Current Employee, more than 5 years","Good benefits (Medical, dental, AL)","Not systemic, not everyone follow procedure",2021, Engineering Assistant ,0,"Still ok Good benefits (Medical, dental, AL) Not systemic, not everyone follow procedure"
173,stock market motivated,2,"Current Employee, more than 10 years",the compensation is adequate at this company,company does not value employees. burn out and terminate,2021," Sales in Troy, MI",0,stock market motivated the compensation is adequate at this company company does not value employees. burn out and terminate
174,Good company for juniors,4,Former Employee,"Freedom, relatively well paid in Michigan.",Management needs improvement to make employees focus on the projects.,2021," Software Engineer in Troy, MI",1,"Good company for juniors Freedom, relatively well paid in Michigan. Management needs improvement to make employees focus on the projects."
175,Salary for Team Lead,4,"Current Employee, more than 8 years","Good pay, good infrastructure, good people","Work life balance, no growth after 12 or 13 years of ecperience",2021, Team Leader in Bangalore,1,"Salary for Team Lead Good pay, good infrastructure, good people Work life balance, no growth after 12 or 13 years of ecperience"
176,"Aptiv, the place where you can grow your career",5,Current Employee,"Open and transparent communication, great and supportive colleagues, truly international environment, plenty of career opportunities, interesting and diverse projects, many are working with top-notch technology i.e. autonomous driving, advanced driver-assistance systems, e-mobility solutions and power & signal distribution.",Nothing I could mention here since topics I would have raised in the past did improve a lot within the last months. I'm really happy here and am glad that I joined Aptiv 2 years ago.,2020, Talent Acquisition Manager in Wuppertal,1,"Aptiv, the place where you can grow your career Open and transparent communication, great and supportive colleagues, truly international environment, plenty of career opportunities, interesting and diverse projects, many are working with top-notch technology i.e. autonomous driving, advanced driver-assistance systems, e-mobility solutions and power & signal distribution. Nothing I could mention here since topics I would have raised in the past did improve a lot within the last months. I'm really happy here and am glad that I joined Aptiv 2 years ago."
178,Best in Automotive,5,"Former Employee, more than 1 year","Work life balance, Salary, Culture,Work,Diversity",Nothing all is good about being here,2021, Advanced Software Engineer in Bangalore,1,"Best in Automotive Work life balance, Salary, Culture,Work,Diversity Nothing all is good about being here"
179,Good to start with,4,"Current Employee, more than 3 years",You get hands on. Support Good environment,Work schedule depends on projects No much facilities like cafeteria,2021, Senior Test Engineer in Bangalore,1,Good to start with You get hands on. Support Good environment Work schedule depends on projects No much facilities like cafeteria
181,Nice company,4,Current Employee,Company is nice to emplyee,sometimes direction is not clear,2021, Algorithm Engineer ,1,Nice company Company is nice to emplyee sometimes direction is not clear
182,Good benefits,4,"Current Employee, more than 3 years",Good benefits and company cares about employees.,Less work life balance due to overwork,2021," Algorithm Engineer in Troy, MI",1,Good benefits Good benefits and company cares about employees. Less work life balance due to overwork
183,Aptiv is a decent employer,4,Former Employee,"Good management, flexible scheduling, good pay","office was in basement, no workplace culture",2021, Software Verification Engineer ,1,"Aptiv is a decent employer Good management, flexible scheduling, good pay office was in basement, no workplace culture"
184,Pros and Cons,4,Current Employee,Good working environment in Aptiv,No personal trainings provided in Aptiv,2021," Systems Engineer in Troy, MI",1,Pros and Cons Good working environment in Aptiv No personal trainings provided in Aptiv
185,Great company,5,"Current Employee, less than 1 year","Very free work environment. They really trust you, and let you take your own decisions. There is no clear hierarchy; everybody is helpful and on the same level.",Administrative HR related things are a bit unstructured,2020, Software Engineer in Gothenburg,1,"Great company Very free work environment. They really trust you, and let you take your own decisions. There is no clear hierarchy; everybody is helpful and on the same level. Administrative HR related things are a bit unstructured"
186,OK,4,Current Employee,"offices, benefits, location, career, people","management chain, young, possibilities, flexibility, interactions",2021, Team Leader in Kraków,1,"OK offices, benefits, location, career, people management chain, young, possibilities, flexibility, interactions"
188,Good pay in midwest,4,"Former Employee, more than 1 year","The pay is decent in midwest area, and the work-life balance is ok.",Do provide lots of vacation days compare with working in an OEM like Ford.,2020," Software Engineer in Detroit, MI",1,"Good pay in midwest The pay is decent in midwest area, and the work-life balance is ok. Do provide lots of vacation days compare with working in an OEM like Ford."
190,Good company,5,Current Employee,"training possibilities, people, business trips, social actions for kids, etc., many internal development possibilities","no money bonuses, no co-financing for meals, poor kitchen equipment",2020, Supply Chain/Logistics Analyst in Kraków,1,"Good company training possibilities, people, business trips, social actions for kids, etc., many internal development possibilities no money bonuses, no co-financing for meals, poor kitchen equipment"
192,Lean champion,4,Current Employee,"Competitive salary with reliable, professional and hard working colleague.",Bad life and work balance.,2020, Lean Champion ,1,"Lean champion Competitive salary with reliable, professional and hard working colleague. Bad life and work balance."
193,Don’t come here,2,Current Employee,Poor management Lack of direction Lack of technical knowledge,Poor administration Lack of opportunities to grow Projects on fire,2021, Anonymous Employee ,0,Don’t come here Poor management Lack of direction Lack of technical knowledge Poor administration Lack of opportunities to grow Projects on fire
196,Great opportunity,5,"Current Employee, more than 5 years",Flexible work schedule. Meaningful work.,High pressure environment when working with automotive OEMs as a supplier.,2020," Project Manager in Troy, MI",1,Great opportunity Flexible work schedule. Meaningful work. High pressure environment when working with automotive OEMs as a supplier.
197,Good,5,Former Employee,Great job for seeker india,Not so great for non seeker,2020, Engineering Manager in Bangalore,1,Good Great job for seeker india Not so great for non seeker
198,Executive Management Team needs insight into how the business works; need to stabilize the workforce.,2,Former Employee,Good family atmosphere in plants,Poor management from executive level.,2021, Manager ,0,Executive Management Team needs insight into how the business works; need to stabilize the workforce. Good family atmosphere in plants Poor management from executive level.
199,Excellent to work,5,Former Employee,everyone has good work knowledge and projects were good,it is difficult to get permanenet postion,2020, Software Engineer in Bangalore,1,Excellent to work everyone has good work knowledge and projects were good it is difficult to get permanenet postion
200,Experience,4,"Former Employee, more than 1 year",Company has lots of good projects,work life imbalance and no time for family,2020," Systems Engineer in Troy, MI",1,Experience Company has lots of good projects work life imbalance and no time for family
201,Excellent Place to Work and Learn,5,"Current Employee, more than 5 years",Nice working environment Supporting Management Flexible Work Culture Opportunity to learn and grow,Long Term Onsite Opportunities are minimal Need more Vehicle Testing methods,2020, Technical Leader in Bangalore,1,Excellent Place to Work and Learn Nice working environment Supporting Management Flexible Work Culture Opportunity to learn and grow Long Term Onsite Opportunities are minimal Need more Vehicle Testing methods
202,"""From an Intern to Full Time Employee_APTIV is a place to Learn""",4,"Current Employee, less than 1 year",1)Safety 2)Supportive people around 3)Place to learn/explore for sure -even more trainings provided for intern and even for full time employees 4)Easily adaptable Environment 5)Good Salary Package,No such cons I have noted,2020, Graduate Engineer in Bangalore,1,"""From an Intern to Full Time Employee_APTIV is a place to Learn"" 1)Safety 2)Supportive people around 3)Place to learn/explore for sure -even more trainings provided for intern and even for full time employees 4)Easily adaptable Environment 5)Good Salary Package No such cons I have noted"
203,Good place,4,Current Employee,Organisation has good professional culture,Competitive nature of auto market and industry,2020, Manager ,1,Good place Organisation has good professional culture Competitive nature of auto market and industry
204,Good,5,"Former Employee, less than 1 year",A good company to start with,There are no cons for this,2020, Graduate Engineer Trainee in Bangalore,1,Good A good company to start with There are no cons for this
205,GREAT PLACE TO WORK,5,Former Employee,"Great place to work, friendly environment. Better management support",Very slow logistics support- like computer and office phone,2020," Senior Engineer in Troy, MI",1,"GREAT PLACE TO WORK Great place to work, friendly environment. Better management support Very slow logistics support- like computer and office phone"
208,Good place to work,5,Current Employee,Good team and good management.,No parking space in the plant,2020, Senior Software Developer ,1,Good place to work Good team and good management. No parking space in the plant
210,Very good working Envi.,5,Current Employee,Compensation Package Working env. Product offering,There is Nothing specific to complain about,2020, Senior Product Manager in Stuttgart,1,Very good working Envi. Compensation Package Working env. Product offering There is Nothing specific to complain about
211,Very Good company to work,5,Current Employee,"Strong Company, possibilities to develop and learn","Sometimes, slow decisions due to sizes",2020, HR Manager in Pamplona,1,"Very Good company to work Strong Company, possibilities to develop and learn Sometimes, slow decisions due to sizes"
213,The gap between employer branding and reality,2,"Current Employee, more than 8 years","Colleagues, salary, flextime, proximity to the university campus, parking lot situation, interesting technological challenges.","Human resources needs to cope with the projects won is usually estimated intentionally optimistically. Why do I belive its intentionally? Because it happens all the time and there is no example I am aware of where estimates reflect even close to 60% of what is actually needed. Often, good experts are promoted to engineering group managers (EGMs), although they are the wrong choice when it comes to team development and team empowerment. If a supervisor has good hard skills but still has room for improvement in terms of managing people, he or she should be encouraged to consult HR at an early stage if any conflicts in the team cannot be resolved. The inclusion of HR for problems in the team should not be interpreted as a weakness, flaw or a negative entry in a fictitious file about the team leader, but rather as a virtue and scknowledged by HR as athe right thing to do.. This is very important for a successful and large company like Aptiv, as the organizational structures change regurarly, even if this is not surprising considering the strong position in the market. In general, Aptiv is very successful and there is a lot of projects, which also has very positive side effects that the future is bright in terms of employees having lots of projects and work to be done. However, due to the high workload with hard deadlines, there is far too little time for the EGMs to manage their teams, to identify problems in the team at an early stage and to tackle those. As a result, there are often employees in the same team where some are overloaded and others are bored.",2020, Senior Technical Project Manager in Wuppertal,0,"The gap between employer branding and reality Colleagues, salary, flextime, proximity to the university campus, parking lot situation, interesting technological challenges. Human resources needs to cope with the projects won is usually estimated intentionally optimistically. Why do I belive its intentionally? Because it happens all the time and there is no example I am aware of where estimates reflect even close to 60% of what is actually needed. Often, good experts are promoted to engineering group managers (EGMs), although they are the wrong choice when it comes to team development and team empowerment. If a supervisor has good hard skills but still has room for improvement in terms of managing people, he or she should be encouraged to consult HR at an early stage if any conflicts in the team cannot be resolved. The inclusion of HR for problems in the team should not be interpreted as a weakness, flaw or a negative entry in a fictitious file about the team leader, but rather as a virtue and scknowledged by HR as athe right thing to do.. This is very important for a successful and large company like Aptiv, as the organizational structures change regurarly, even if this is not surprising considering the strong position in the market. In general, Aptiv is very successful and there is a lot of projects, which also has very positive side effects that the future is bright in terms of employees having lots of projects and work to be done. However, due to the high workload with hard deadlines, there is far too little time for the EGMs to manage their teams, to identify problems in the team at an early stage and to tackle those. As a result, there are often employees in the same team where some are overloaded and others are bored."
214,work life,4,"Current Employee, more than 3 years",Best place to start carrier,Difficult to manage time between personal and professional life due to hectic work,2020, Senior Software Engineer in Bangalore,1,work life Best place to start carrier Difficult to manage time between personal and professional life due to hectic work
215,Company,5,Current Employee,Great company and technology to work with,Nothing much in particular I have,2020, Technical Manager in Bangalore,1,Company Great company and technology to work with Nothing much in particular I have
216,Working For Free,1,"Current Employee, more than 8 years",Outstanding Technology and product portfolio. Really ahead of competition in quality and offer to the mobility HEV market.,"Money at all costs. This is a company, executives and management are willing to do whatever it takes to their people to get profit. There is a Disgusting disguise of a Think like Owner to make you feel guilty for not working 20h non stop. And please feel bad for not replying that email 9pm on Saturday. They make you feel you will be fired at any moment if you don’t accept this. Half the team is on Furlough and they don’t bother in calling you and having you work. Working for free is committed for them. It is just sad such a great company treats their people like trash. And as I see the more you advance in this company the more you are treated like garbage. No value for capabilities. No space for mistakes and there is always someone to be blamed and of course fired. Hire and fire.",2020," Manager in Troy, MI",0,"Working For Free Outstanding Technology and product portfolio. Really ahead of competition in quality and offer to the mobility HEV market. Money at all costs. This is a company, executives and management are willing to do whatever it takes to their people to get profit. There is a Disgusting disguise of a Think like Owner to make you feel guilty for not working 20h non stop. And please feel bad for not replying that email 9pm on Saturday. They make you feel you will be fired at any moment if you don’t accept this. Half the team is on Furlough and they don’t bother in calling you and having you work. Working for free is committed for them. It is just sad such a great company treats their people like trash. And as I see the more you advance in this company the more you are treated like garbage. No value for capabilities. No space for mistakes and there is always someone to be blamed and of course fired. Hire and fire."
217,A good first job,4,"Former Employee, more than 1 year","Friendly working environment, fairly loose deadlines, good relatonship with managers, nice office location","Similar projects, repetetive workload, relatively outdated computers",2020, Software/Systems Test Engineer in Kraków,1,"A good first job Friendly working environment, fairly loose deadlines, good relatonship with managers, nice office location Similar projects, repetetive workload, relatively outdated computers"
218,Fair,4,Current Employee,Not bad but less vacations than a OEM.,"Narrow minded, lower salaries than OEMs.",2020," Systems Engineer in Troy, MI",1,"Fair Not bad but less vacations than a OEM. Narrow minded, lower salaries than OEMs."
219,unclear strategy,2,"Former Employee, more than 1 year","good salary, flexible home working",very top down and highly centralised decision making,2021, Anonymous Employee ,0,"unclear strategy good salary, flexible home working very top down and highly centralised decision making"
220,Good place,5,Current Employee,People are nice and smilong,Hard to implement improvements there,2020, Data Analyst in Kraków,1,Good place People are nice and smilong Hard to implement improvements there
221,Great place for fresher in automobile industry,4,"Current Employee, more than 1 year",Flexible working hours for graduate students,Get ready for a lot of presentations,2020, Graduate Student Researcher in Wuppertal,1,Great place for fresher in automobile industry Flexible working hours for graduate students Get ready for a lot of presentations
222,Excellent Experience,4,"Current Employee, more than 1 year","Good people, wide product portfolio",narrow focus scope. Too much reply on a few big customers.,2020, Systems Engineer in Gothenburg,1,"Excellent Experience Good people, wide product portfolio narrow focus scope. Too much reply on a few big customers."
223,Great company with bad leadership,4,Former Employee,great projects and great people to work with,bad leadership and lack of vision,2020," Systems Engineer in Auburn Hills, MI",1,Great company with bad leadership great projects and great people to work with bad leadership and lack of vision
225,dont go there,1,"Current Employee, more than 8 years","nice shiny office, that's it","phew where to start? forced redundancies within a year of starting, reduced pensions, incompetent senior managers",2021," Senior Accountant in London, England, England",0,"dont go there nice shiny office, that's it phew where to start? forced redundancies within a year of starting, reduced pensions, incompetent senior managers"
226,Great place to work at.,4,"Current Employee, more than 3 years",1. Aptiv is a good company to work at with good balance of work and personal life 2. I like the fact that its stress free and encourages to learn while working 3. Made some good friends over time,Growth on the leadership level is slow,2020," Advanced Software Engineer in Kokomo, IN",1,Great place to work at. 1. Aptiv is a good company to work at with good balance of work and personal life 2. I like the fact that its stress free and encourages to learn while working 3. Made some good friends over time Growth on the leadership level is slow
229,APTIV IGS,1,"Current Employee, more than 3 years",Easy hire to the company,"No management support at IGS`s UA. Werry bad work process organization for employers. 0 support from managment side in Projects running. 0 motivation and no salary increasing. Huge financial problems during New Projects Launching is laying on the Engineering, and after start up no any encouragement. Working more than 2 years on Dummy Company which was hired to save costs - not even APTIV. Loaded by Responcibilities like for 5 people but sallary like 0.5. during COVID-19 company forced to leave at own expense - and you must go - because afraid to lose Job during COVID-19.",2020, Manufacturing Engineer in Ivano,0,"APTIV IGS Easy hire to the company No management support at IGS`s UA. Werry bad work process organization for employers. 0 support from managment side in Projects running. 0 motivation and no salary increasing. Huge financial problems during New Projects Launching is laying on the Engineering, and after start up no any encouragement. Working more than 2 years on Dummy Company which was hired to save costs - not even APTIV. Loaded by Responcibilities like for 5 people but sallary like 0.5. during COVID-19 company forced to leave at own expense - and you must go - because afraid to lose Job during COVID-19."
230,Old-fashioned Slaughterhouse,2,"Former Employee, less than 1 year","Interesting products in the IVI, ADAS, Security area with leading edge technology (at least some)","Equipment and IT support is ridiculous. No career opportunities or guide from direct manager or management side (most of them, not all).",2020," Account Manager in München, Bavaria, Bavaria",0,"Old-fashioned Slaughterhouse Interesting products in the IVI, ADAS, Security area with leading edge technology (at least some) Equipment and IT support is ridiculous. No career opportunities or guide from direct manager or management side (most of them, not all)."
231,"Start you career but don't get stuck, it's not like that everywhere",2,"Current Employee, more than 3 years",Currently going through Lean transformation,Poor recruitment effort resulting in a unbalanced work load. Whoever has better knowledge and skills is overloaded with work. Excel driven Company trying to deal with large datasets. Unqualified management trying to control frequently using manipulation.,2020, Business Analyst in Kraków,0,"Start you career but don't get stuck, it's not like that everywhere Currently going through Lean transformation Poor recruitment effort resulting in a unbalanced work load. Whoever has better knowledge and skills is overloaded with work. Excel driven Company trying to deal with large datasets. Unqualified management trying to control frequently using manipulation."
233,Would Not Recommend,2,"Former Employee, more than 1 year",No pros about this company,"Toxic work environment, silo'd, yelling and screaming at people.",2021," Talent Manager in Detroit, MI",0,"Would Not Recommend No pros about this company Toxic work environment, silo'd, yelling and screaming at people."
